time,upload,download
1,0.0128906,0.0128906
2,0.0386719,0.0386719
3,0.0492188,0.0503906
4,0.0621094,0.0632813
5,0.0908203,0.0814453
6,0.0908203,0.0814453
7,0.0779297,0.0685547
8,0.0908203,0.0814453
9,0.0908203,0.0814453
10,0.0908203,0.0814453
11,0.0339844,0.0363281
12,0.0363281,0.0375
13,0.0363281,0.0375
14,0.0363281,0.0375
15,0.0363281,0.0375
16,0.0363281,0.0375
17,0.0363281,0.0375
18,0.0363281,0.0375
19,0.0363281,0.0375
20,0.614062,1.32227
21,0.912305,2.74004
22,0.962891,2.93398
23,0.975781,2.94688
24,0.843359,2.86504
25,0.973437,3.26445
26,0.97168,2.20508
27,0.920313,3.00547
28,9.37676,198.507
29,21.5746,730.461
30,25.6572,994.734
31,31.075,1518.63
32,32.2809,1896.66
33,26.6016,1873.59
34,28.7178,2065.49
35,26.6732,1763
36,24.7699,1703.33
37,23.6463,1521.17
38,21.2662,1278.29
39,25.8021,1513.93
40,28.1998,1618.61
41,29.6141,1783.62
42,65.0334,1742.73
43,158.953,1290.09
44,258.659,760.572
45,359.347,246.83
46,441.408,13.1859
47,455.721,13.0621
48,450.327,12.6828
49,470.487,13.2994
50,478.261,13.8572
51,478.261,13.8572
52,478.261,13.8572
53,478.261,13.8572
54,17.8398,1.05117
55,0.0234375,0.0246094
56,0.0363281,0.0375
57,0.0363281,0.0375
58,0.0363281,0.0375
59,0.0363281,0.0375
60,0.0339844,0.0363281
61,0.0339844,0.0363281
62,0.0339844,0.0363281
63,0.0339844,0.0363281
64,0.0234375,0.0246094
65,0.0234375,0.0246094
66,0.0257812,0.0257812
67,0.0492188,0.0503906
68,0.0492188,0.0503906
69,0.0492188,0.0503906
70,0.046875,0.0492188
71,0.046875,0.0492188
72,0.046875,0.0492188
73,0.046875,0.0492188
74,0.046875,0.0492188
75,0.046875,0.0492188
76,0.0128906,0.0128906
77,0.0339844,0.0363281
78,0.0445312,0.0480469
79,0.116406,0.107813
80,0.495898,0.464453
81,0.511719,0.481445
82,0.523242,0.489844
83,0.523242,0.489844
84,0.478711,0.442969
85,0.113477,0.116211
86,0.143945,0.132617
87,0.185742,0.155859
88,0.223828,0.186328
89,0.239648,0.20332
90,0.239648,0.20332
91,0.239648,0.20332
92,0.213867,0.164062
93,0.213867,0.164062
94,0.213867,0.164062
95,0.555273,1.4832
96,0.568164,1.49609
97,0.568164,1.49609
98,0.470898,1.4457
99,0.470898,1.4457
100,0.470898,1.4457
101,0.0392578,0.0298828
102,0.0392578,0.0298828
103,0.0392578,0.0298828
104,0.0392578,0.0298828
105,0.0392578,0.0298828
106,0.0128906,0.0128906
107,0.0339844,0.0363281
108,0.0445312,0.0480469
109,0.0550781,0.0597656
110,0.0679687,0.0726563
111,0.0679687,0.0726563
112,0.0679687,0.0726563
113,0.0339844,0.0363281
114,0.0339844,0.0363281
115,0.0339844,0.0363281
116,0.0339844,0.0363281
117,0.0339844,0.0363281
118,0.0339844,0.0363281
119,0.0339844,0.0363281
120,0.0339844,0.0363281
121,0.0339844,0.0363281
122,0.0339844,0.0363281
123,0.0128906,0.0128906
124,0.0128906,0.0128906
125,0.0128906,0.0128906
126,0.0128906,0.0128906
127,0.0257812,0.0257812
128,0.0257812,0.0257812
129,0.0234375,0.0246094
130,0.0234375,0.0246094
131,0.0234375,0.0246094
132,0.0234375,0.0246094
133,0.0234375,0.0246094
134,0.0234375,0.0246094
135,0.0210938,0.0234375
136,0.0316406,0.0351562
137,0.0550781,0.0597656
138,0.125391,0.108984
139,0.154102,0.138867
140,0.1875,0.158203
141,0.1875,0.158203
142,0.1875,0.158203
143,0.1875,0.158203
144,0.09375,0.0726563
145,0.0498047,0.0416016
146,0.0498047,0.0416016
147,0.0498047,0.0416016
148,0.0785156,0.0597656
149,0.0785156,0.0597656
150,0.0785156,0.0597656
151,0.0703125,0.0492188
152,0.0703125,0.0492188
153,0.0703125,0.0492188
154,0.103125,0.0697266
155,0.103125,0.0697266
156,0.103125,0.0697266
157,0.103125,0.0697266
158,0.103125,0.0697266
159,0.103125,0.0697266
160,0.103125,0.0697266
161,0.103125,0.0697266
162,0.103125,0.0697266
163,0.103125,0.0697266
164,0.103125,0.0697266
165,0.103125,0.0697266
166,0.0339844,0.0363281
167,0.0445312,0.0480469
168,0.0550781,0.0597656
169,0.0550781,0.0597656
170,0.0550781,0.0597656
171,0.0550781,0.0597656
172,0.0210938,0.0234375
173,0.0210938,0.0234375
174,0.0210938,0.0234375
175,0.0210938,0.0234375
176,0.0210938,0.0234375
177,0.0210938,0.0234375
178,0.0210938,0.0234375
179,0.0210938,0.0234375
180,0.0210938,0.0234375
181,0.0210938,0.0234375
182,0.0128906,0.0128906
183,0.0128906,0.0128906
184,0.0128906,0.0128906
185,0.0128906,0.0128906
186,0.0128906,0.0128906
187,0.0128906,0.0128906
188,0.0128906,0.0128906
189,0.0128906,0.0128906
190,0.0128906,0.0128906
191,0.0984375,0.046875
192,0.142383,0.0820312
193,0.142383,0.0820312
194,0.155273,0.0949219
195,0.16582,0.106641
196,0.16582,0.106641
197,0.0960938,0.0662109
198,0.0960938,0.0662109
199,0.0960938,0.0662109
200,0.116602,0.0650391
201,0.116602,0.0650391
202,0.108984,0.0767578
203,0.108984,0.0767578
204,0.108984,0.0767578
205,0.108984,0.0767578
206,0.108984,0.0767578
207,0.108984,0.0767578
208,0.108984,0.0767578
209,0.108984,0.0767578
210,0.0128906,0.0128906
211,0.0128906,0.0128906
212,0.0462891,0.0333984
213,0.0462891,0.0333984
214,0.0462891,0.0333984
215,0.0462891,0.0333984
216,0.0462891,0.0333984
217,0.0462891,0.0333984
218,0.0462891,0.0333984
219,0.0462891,0.0333984
220,0.0462891,0.0333984
221,0.0462891,0.0333984
222,0.0128906,0.0128906
223,0.0128906,0.0128906
224,0.0128906,0.0128906
225,0.0128906,0.0128906
226,0.0234375,0.0246094
227,0.0234375,0.0246094
228,0.0234375,0.0246094
229,0.0234375,0.0246094
230,0.0234375,0.0246094
231,0.0234375,0.0246094
232,0.0234375,0.0246094
233,0.0234375,0.0246094
234,0.0234375,0.0246094
235,0.0234375,0.0246094
236,0.0234375,0.0246094
237,0.0234375,0.0246094
238,0.0234375,0.0246094
239,0.0234375,0.0246094
240,0.0234375,0.0246094
241,0.0128906,0.0128906
242,0.0128906,0.0128906
243,0.317578,0.258789
244,0.317578,0.258789
245,0.317578,0.258789
246,0.317578,0.258789
247,0.317578,0.258789
248,0.317578,0.258789
249,0.317578,0.258789
250,0.0439453,0.0234375
251,0.0568359,0.0363281
252,0.0568359,0.0363281
253,0.0568359,0.0363281
254,0.0568359,0.0363281
255,0.0568359,0.0363281
256,0.0568359,0.0363281
257,0.0568359,0.0363281
258,0.0568359,0.0363281
259,0.0568359,0.0363281
260,0.0568359,0.0363281
261,0.0568359,0.0363281
262,0.0568359,0.0363281
263,0.0568359,0.0363281
264,0.0568359,0.0363281
265,0.0638672,0.0375
266,0.0638672,0.0375
267,0.0638672,0.0375
268,0.0638672,0.0375
269,0.0638672,0.0375
270,0.0638672,0.0375
271,0.0638672,0.0375
272,0.938867,2.99551
273,0.938867,2.99551
274,0.938867,2.99551
275,0.938867,2.99551
276,0.938867,2.99551
277,0.938867,2.99551
278,0.938867,2.99551
279,0.0128906,0.0128906
280,0.53457,1.2916
281,0.53457,1.30332
282,0.53457,1.30332
283,0.53457,1.30332
284,0.53457,1.30332
285,0.53457,1.30332
286,0.53457,1.30332
287,0.53457,1.30332
288,0.53457,1.30332
289,0.53457,1.30332
290,0.0128906,0.0128906
291,0.0128906,0.0128906
292,0.0128906,0.0128906
293,0.0128906,0.0128906
294,0.315625,0.258789
295,0.315625,0.258789
296,0.315625,0.258789
297,0.315625,0.258789
298,0.315625,0.258789
299,0.315625,0.258789
300,0.0257812,0.0128906
301,0.0363281,0.0375
302,0.0978516,0.0375
303,0.154102,0.129492
304,0.154102,0.129492
305,0.154102,0.129492
306,0.154102,0.129492
307,0.0691406,0.104883
308,0.0691406,0.104883
309,0.0234375,0.0246094
310,0.0234375,0.0246094
311,0.0363281,0.0375
312,0.0363281,0.0375
313,0.0363281,0.0375
314,0.0363281,0.0375
315,0.0363281,0.0375
316,0.0363281,0.0375
317,0.0363281,0.0375
318,0.0363281,0.0375
319,0.0363281,0.0375
320,0.0363281,0.0375
321,0.0128906,0.0128906
322,0.0257812,0.0257812
323,0.0257812,0.0257812
324,0.0257812,0.0257812
325,0.0257812,0.0257812
326,0.0257812,0.0257812
327,0.0257812,0.0257812
328,0.0257812,0.0257812
329,0.0105469,0.0117188
330,0.0105469,0.0117188
331,0.0664062,0.06875
332,0.0664062,0.06875
333,0.0664062,0.06875
334,0.0664062,0.06875
335,0.06875,0.0699219
336,0.06875,0.0699219
337,0.0234375,0.0246094
338,0.0234375,0.0246094
339,0.0535156,0.0558594
340,0.0535156,0.0558594
341,0.0429688,0.0441406
342,0.0429688,0.0441406
343,0.0429688,0.0441406
344,0.0429688,0.0441406
345,0.0429688,0.0441406
346,0.0429688,0.0441406
347,0.0429688,0.0441406
348,0.0429688,0.0441406
349,0.0429688,0.0441406
350,0.0128906,0.0128906
351,0.0128906,0.0128906
352,0.0257812,0.0257812
353,0.0591797,0.0462891
354,0.0591797,0.0462891
355,0.0591797,0.0462891
356,0.0591797,0.0462891
357,0.0591797,0.0462891
358,0.0591797,0.0462891
359,0.0234375,0.0246094
360,0.0234375,0.0246094
361,0.0568359,0.0580078
362,0.0697266,0.0708984
363,0.0826172,0.0837891
364,0.0826172,0.0837891
365,0.0826172,0.0837891
366,0.0826172,0.0837891
367,0.0234375,0.0246094
368,0.0234375,0.0246094
369,0.0234375,0.0246094
370,0.0234375,0.0246094
371,0.0234375,0.0246094
372,0.0128906,0.0128906
373,0.0128906,0.0128906
374,0.0128906,0.0128906
375,0.0128906,0.0128906
376,0.0128906,0.0128906
377,0.0128906,0.0128906
378,0.0128906,0.0128906
379,0.0128906,0.0128906
380,0.0128906,0.0128906
381,0.0128906,0.0128906
382,0.0583984,0.0576172
383,0.0583984,0.0576172
384,0.0583984,0.0576172
385,0.0583984,0.0576172
386,0.0583984,0.0576172
387,0.0105469,0.0246094
388,0.0105469,0.0246094
389,0.0234375,0.0246094
390,0.0535156,0.0558594
391,0.0535156,0.0558594
392,0.0535156,0.0558594
393,0.0558594,0.0570313
394,0.0558594,0.0570313
395,0.449805,1.4498
396,0.475586,1.4627
397,0.475586,1.4627
398,0.492773,1.46934
399,0.492773,1.46934
400,0.492773,1.46934
401,0.492773,1.46934
402,0.492773,1.46934
403,0.492773,1.46934
404,0.492773,1.46934
405,0.492773,1.46934
406,0.492773,1.46934
407,0.492773,1.46934
408,0.492773,1.46934
409,0.0128906,0.0128906
410,0.0257812,0.0257812
411,0.0591797,0.0462891
412,0.0591797,0.0462891
413,0.0591797,0.0462891
414,0.0972656,0.0591797
415,0.0972656,0.0591797
416,0.0972656,0.0591797
417,0.0972656,0.0591797
418,0.0615234,0.0375
419,0.0615234,0.0375
420,0.0615234,0.0375
421,0.0615234,0.0375
422,0.0615234,0.0375
423,0.0105469,0.0117188
424,0.0105469,0.0117188
425,0.0105469,0.0117188
426,0.0210938,0.0234375
427,0.0210938,0.0234375
428,0.0210938,0.0234375
429,0.0210938,0.0234375
430,0.0210938,0.0234375
431,0.0210938,0.0234375
432,0.0210938,0.0234375
433,0.0210938,0.0234375
434,0.0210938,0.0234375
435,0.0210938,0.0234375
436,0.0210938,0.0234375
437,0.0210938,0.0234375
438,0.0128906,0.0128906
439,0.0257812,0.0257812
440,0.0257812,0.0257812
441,0.0257812,0.0257812
442,0.0257812,0.0257812
443,0.0724609,0.0609375
444,0.0724609,0.0609375
445,0.0724609,0.0609375
446,0.0724609,0.0609375
447,0.0724609,0.0609375
448,0.0724609,0.0609375
449,0.0724609,0.0609375
450,0.0724609,0.0609375
451,0.0572266,0.0351562
452,0.0572266,0.0351562
453,0.0572266,0.0351562
454,0.0964844,0.0650391
455,0.0964844,0.0650391
456,0.0964844,0.0650391
457,0.0964844,0.0650391
458,0.0964844,0.0650391
459,0.0964844,0.0650391
460,0.0964844,0.0650391
461,0.0964844,0.0650391
462,0.0964844,0.0650391
463,0.0964844,0.0650391
464,0.0509766,0.0257812
465,0.0509766,0.0257812
466,0.0509766,0.0257812
467,0.0638672,0.0386719
468,0.0638672,0.0386719
469,0.0638672,0.0386719
470,0.0638672,0.0386719
471,0.0638672,0.0386719
472,0.0638672,0.0386719
473,0.0638672,0.0386719
474,0.0638672,0.0386719
475,0.0638672,0.0386719
476,0.0638672,0.0386719
477,0.0638672,0.0386719
478,0.0638672,0.0386719
479,0.0638672,0.0386719
480,0.0638672,0.0386719
481,0.0638672,0.0386719
482,0.0105469,0.0117188
483,0.0105469,0.0117188
484,0.0105469,0.0117188
485,0.0105469,0.0117188
486,0.0105469,0.0117188
487,0.0105469,0.0117188
488,0.0105469,0.0117188
489,0.0105469,0.0117188
490,0.0105469,0.0117188
491,0.0105469,0.0117188
492,0.0105469,0.0117188
493,0.0105469,0.0117188
494,0.0105469,0.0117188
495,0.0128906,0.0128906
496,0.0128906,0.0128906
497,0.0128906,0.0128906
