time,ping
1,50.2
2,69.2
3,69.7
4,43.2
5,45.4
6,54
7,62.9
8,44.4
9,53.7
10,60.9
11,81.7
12,57
13,56.4
14,55.5
15,53.7
16,52.7
17,47.8
18,49.8
19,69
20,68
21,71.8
22,78.6
23,44.4
24,62.3
25,60.8
26,51.4
27,59.6
28,57.2
29,56.7
30,73.4
31,48.9
32,49.4
33,84
34,74.5
35,63.2
36,60.8
37,61.1
38,41.5
39,57.6
40,54
41,58.1
42,47.9
43,53.3
44,182
45,50.3
46,67.4
47,66.5
48,52.5
49,47.7
50,53.8
51,61.3
52,59.9
53,50.7
54,43.8
55,56.5
56,57.6
57,54.8
58,51.2
59,70.1
60,49.1
61,47
62,65.9
63,45.1
64,65.6
65,63.1
66,61.3
67,57
68,56.2
69,49.6
70,56.1
71,55
72,53.7
73,52.2
74,42.8
75,80
76,47.9
77,81.3
78,46.4
79,54.7
80,57.2
81,54.4
82,56.4
83,67.7
84,63.2
85,81.8
86,111
87,57.3
88,78.4
89,63.2
90,57.8
91,56.1
92,56.3
93,53.4
94,53.2
95,74.2
96,73.8
97,73.1
98,59.3
99,75.1
100,64.2
101,54.3
102,43.1
103,64.7
104,60.1
105,56.1
106,52.5
107,63.8
108,84
109,49.5
110,47.3
111,88
112,64.8
113,74.3
114,67.4
115,59.7
116,58.4
117,59.8
118,159
119,56.1
120,53.7
121,72.4
122,49.6
123,50.6
124,48.3
125,57.8
126,63.4
127,59
128,60.3
129,60.8
130,57.4
131,55.9
132,42.6
133,53.8
134,53.5
135,52.7
136,41.3
137,48.5
138,76.7
139,57.2
140,44.2
141,45.4
142,62.1
143,58.8
144,51.2
145,48.6
146,59
147,57.3
148,51.7
149,70.3
150,69.1
151,67.7
152,69.1
153,65.7
154,86.1
155,66.1
156,64.6
157,55.4
158,59.2
159,64
160,62
161,59.2
162,55.8
163,62.4
164,42.3
165,51.1
166,53
167,53.2
168,52.7
169,69.2
170,55.9
171,45
172,47.7
173,47.3
174,66.3
175,69.5
176,60.8
177,47
178,50.4
179,58.9
180,51.6
181,55.4
182,74
183,72.6
184,83.6
185,48.8
186,47.2
187,54.1
188,77.2
189,62
190,62.2
191,221
192,57.2
193,55.2
194,55.4
195,115
196,265
197,70.1
198,50.7
199,66.8
200,76
201,94.5
202,48.5
203,102
204,47.3
205,43.4
206,66.5
207,48.9
208,59.9
209,54.1
210,78.7
211,52.6
212,55
213,64.7
214,51
215,526
216,44.1
217,84.5
218,52.9
219,72.7
220,57.4
221,56.8
222,56.4
223,51.4
224,55.3
225,54.1
226,46.1
227,51.5
228,49.5
229,43.5
230,61
231,70.2
232,63.7
233,48.7
234,67.5
235,45.1
236,90.4
237,56.8
238,64.1
239,62.4
240,59.1
241,61.7
242,59.8
243,51.7
244,55
245,61.5
246,56
247,75.8
248,54.2
249,47.3
250,73.9
251,51.1
252,48.5
253,60.5
254,66.5
255,68.3
256,54.3
257,64
258,60.8
259,63.7
260,64.3
261,64
262,78.4
263,60.8
264,68.3
265,53.2
266,56.9
267,57.8
268,63.5
269,72.4
270,71.6
271,50.4
272,66.7
273,74.8
274,76.1
275,63.9
276,75.4
277,61.5
278,40.9
279,60.3
280,58.6
281,61.5
282,58.9
283,60.1
284,50.1
285,48.4
286,67.6
287,61.1
288,109
289,64.1
290,66.6
291,64.8
292,46.8
293,45.4
294,47.3
295,47.9
296,45.7
297,48.9
298,50.1
299,59.9
300,43
301,46.1
302,50.4
303,64.3
304,73.8
305,58.2
306,52
307,56
308,41.5
309,66.1
310,77.5
311,44
312,55.1
313,49.2
314,53.6
315,58.2
316,70.8
317,60.8
318,68
319,56
320,54.9
321,55.3
322,62.4
323,42.8
324,60.9
325,63
326,78.1
327,70.5
328,47.4
329,64.7
330,73.2
331,49.7
332,54.1
333,70.9
334,47.1
335,40.8
336,53.9
337,47
338,51.1
339,59.8
340,82.4
341,67.6
342,67.5
343,47.6
344,46.1
345,48
346,50.6
347,49.4
348,72.3
349,46.9
350,70.3
351,44.9
352,52.9
353,48.2
354,47.5
355,40.7
356,73
357,48
358,47.7
359,56.1
360,68.6
361,62.3
362,76.8
363,60.9
364,66.7
365,57.3
366,59.9
367,58.2
368,57.4
369,86.6
370,54.2
371,53.9
372,83.8
373,60.6
374,49.2
375,63.5
376,66.3
377,74.5
378,44.1
379,57.8
380,121
381,56.1
382,61.5
383,58.2
384,53.5
385,54.3
386,73.1
387,71.8
388,71.3
389,70.1
390,62.7
391,67.3
392,75.4
393,63.8
394,58.9
395,80.6
396,55.5
397,78.5
398,56.2
399,51.1
400,73.2
401,103
402,81
403,61.2
404,46.1
405,50.3
406,68.9
407,43.2
408,73.5
409,63.6
410,64.9
411,63.2
412,57.7
413,56.3
414,58.6
415,66.9
416,55.9
417,62.2
418,60.1
419,52.7
420,47.1
421,91
422,41.3
423,58.1
424,47.3
425,58.7
426,62.3
427,65.9
428,49.9
429,59.8
430,60.7
431,57.7
432,52.2
433,56.3
434,92.4
435,57
436,76.5
437,52.5
438,55.2
439,65.4
440,50
441,46.9
442,76.8
443,64.9
444,87.2
445,61.5
446,53.2
447,45.5
448,54
449,57.7
450,76.8
451,68.4
452,61.4
453,68.1
454,47.4
455,41.4
456,61.1
457,61.2
458,55.6
459,53.5
460,49.8
461,45.2
462,49.4
463,51.9
464,47.1
465,77
466,43.8
467,46.5
468,58.7
469,56.7
470,46.8
471,48.8
472,59.2
473,57.1
474,48.2
475,44.6
476,94.6
477,44.5
478,42.5
479,42
480,47.2
481,52.3
482,52.5
483,48
484,48.5
485,42.6
486,46.1
487,51.5
488,41
489,45.4
490,45.1
491,55.1
492,55.3
493,73.1
494,49.9
495,60.5
496,48
497,47.5
498,69.8
499,65.8
500,48
501,52.8
502,46.5
503,67.9
504,47.5
505,44.6
506,85.4
507,61.8
508,64.5
509,63.9
510,64.6
511,73.1
512,56.2
513,74.3
