time,ping
1,72.7
2,73.5
3,73.4
4,77.5
5,62
6,74.9
7,74.8
8,69
9,87.6
10,58.8
11,107
12,60.1
13,65.3
14,67.7
15,85.5
16,60.6
17,67.8
18,76.9
19,60
20,64.6
21,112
22,115
23,125
24,104
25,127
26,118
27,113
28,112
29,107
30,133
31,99.9
32,127
33,106
34,116
35,110
36,108
37,108
38,95.2
39,118
40,120
41,172
42,150
43,162
44,138
45,115
46,103
47,93.7
48,102
49,119
50,110
51,124
52,139
53,126
54,141
55,98.9
56,114
57,104
58,124
59,110
60,97.6
61,140
62,123
63,114
64,101
65,112
66,79.7
67,180
68,127
69,114
70,113
71,138
72,103
73,105
74,127
75,97.9
76,113
77,74
78,74.3
79,67.2
80,60.5
81,78.7
82,71.7
83,75.1
84,73.1
85,67.5
86,72.3
87,76.3
88,63.2
89,63.7
90,69.9
91,73.8
92,77.8
93,61.7
94,161
95,99.8
96,102
97,62.4
98,159
99,102
100,109
101,97.3
102,102
103,121
104,116
105,110
106,128
107,114
108,103
109,99.4
110,119
111,165
112,124
113,110
114,102
115,92.7
116,112
117,102
118,73.5
119,131
120,115
121,129
122,196
123,123
124,65.2
125,63.5
126,78.9
127,71.8
128,64.5
129,72.8
130,66.2
131,66
132,65.7
133,63
134,62.4
135,60.5
136,67.6
137,71.9
138,67.4
139,74.7
140,63.5
141,61.9
142,66
143,89.8
144,83.8
145,105
146,102
147,131
148,170
149,107
150,65
151,209
152,110
153,111
154,144
155,98.8
156,122
157,116
158,107
159,71.2
160,68.8
161,63.5
162,60.7
163,67.4
164,67.1
165,67.5
166,91.8
167,78.3
168,74.1
169,114
170,61.3
171,97.2
172,130
173,82.8
174,83.1
175,75.3
176,84.5
177,63.7
178,72.7
179,64.7
180,81.1
181,85.6
182,76.4
183,74
184,76.3
185,75.9
186,87.8
187,68.7
188,67.2
189,81.9
190,74.9
191,63.2
192,131
193,60.5
194,83.9
195,63.8
196,72.8
197,61.1
198,69.5
199,78.8
200,62
201,91.1
202,75.5
203,88.2
204,61.2
205,75.7
206,69.5
207,79.1
208,90.3
209,75.8
210,63.6
211,85.1
212,60.4
213,64.2
214,71.6
215,66.9
216,58.8
217,79.1
218,76.2
219,70.1
220,68.7
221,72.5
222,80.3
223,68.6
224,83.5
225,75.5
226,134
227,62.4
228,117
229,108
230,63.9
231,142
232,125
233,76
234,65.2
235,59.6
236,62.5
237,62.5
238,65.3
239,63.8
240,68.5
241,74.1
242,76.6
243,89.6
244,73.9
245,64.8
246,77.3
247,69.9
248,67.8
249,70.3
250,64.3
251,89.7
252,70.5
253,97.8
254,72.7
255,97.5
256,65.6
257,63.8
258,83.4
259,103
260,62.9
261,76.5
262,69.8
263,67.3
264,70.9
265,75.4
266,68.8
267,61.8
268,65
269,80.5
270,73.1
271,111
272,126
273,133
274,112
275,66.8
276,76.5
277,170
278,114
279,44.2
280,55.2
281,50.2
282,63.9
283,43.8
284,55.2
285,48.4
286,53.1
287,42.7
288,55.7
289,56.3
290,61.9
291,41.5
292,45.9
293,51.4
294,106
295,75.3
296,50.4
297,57.8
298,50.1
299,98.8
300,83.9
301,124
302,42.2
303,56.5
304,40.4
305,44.9
306,39.4
307,48.8
308,59.6
309,49.8
310,57.9
311,77
312,42.5
313,43.2
314,138
315,42.2
316,51.6
317,47
318,52.5
319,42.3
320,46.9
321,41.2
322,40.1
323,41.9
324,40.6
325,55.5
326,61.6
327,42.1
328,42
329,41.3
330,85.2
331,48.7
332,101
333,46.9
334,45.1
335,46.2
336,40
337,39.7
338,41.6
339,60.7
340,39.7
341,56.5
342,46.4
343,55.6
344,50.5
345,50.4
346,39.2
347,44.6
348,56.3
349,51.2
350,40.2
351,56.4
352,44.2
353,41
354,39.9
355,40.3
356,95.9
357,48.5
358,68.3
359,53.7
360,60.6
361,63.6
362,44.1
363,59.1
364,54.4
365,43.3
366,63.7
367,42.8
368,44.4
369,49.1
370,45.7
371,40.7
372,51.8
373,40.9
374,40.8
375,38.7
376,48.7
377,38.6
378,53.9
379,43.9
380,44.6
381,49.4
382,51.4
383,54.3
384,51.1
385,44.6
386,44.2
387,50.1
388,43.3
389,43.3
390,57.9
391,54.2
392,72.4
393,67.8
394,42.7
395,51.9
396,43.1
397,52.3
398,51.7
399,67
400,45.8
401,40.7
402,40.2
403,53.8
404,43.3
405,50.3
406,47.3
407,43.8
408,56.9
409,66.3
410,47.6
411,54.8
412,45.5
413,44.7
414,50.4
415,43.4
416,73.7
417,39.4
418,38.4
419,46.5
420,41.2
421,41.4
422,44.8
423,42.8
424,42.1
425,137
426,81.1
427,57.8
428,56.6
429,50.7
430,51.8
431,59.6
432,39.3
433,64.7
434,39.5
435,43.2
436,59.2
437,66.1
438,56
439,57.9
440,44.3
