time,upload,download
1,0.0128906,0.0128906
2,0.0128906,0.0128906
3,0.0128906,0.0128906
4,0.0128906,0.0128906
5,0.0128906,0.0128906
6,0,0.0128906
7,0.0128906,0.0128906
8,0.0128906,0.0128906
9,0.0128906,0.0128906
10,0.0128906,0.0128906
11,0.0128906,0.0128906
12,0.0128906,0.0128906
13,0.0128906,0.0128906
14,0.0128906,0.0128906
15,0.0128906,0.0128906
16,0.0128906,0.0128906
17,0.0128906,0.0128906
18,0.0128906,0.0128906
19,0.0128906,0.0128906
20,0.0128906,0.0128906
21,0.0128906,0.0128906
22,0.0128906,0.0128906
23,0.0128906,0.0128906
24,0.0128906,0.0128906
25,0.0128906,0.0128906
26,0.0128906,0.0128906
27,0.0128906,0.0128906
28,0.0128906,0.0128906
29,0.0128906,0.0128906
30,0.0128906,0.0128906
31,0.0128906,0.0128906
32,0.0128906,0.0128906
33,0.0128906,0.0128906
34,0.0128906,0.0128906
35,0.0128906,0.0128906
36,0.0128906,0.0128906
37,0.0462891,0.0462891
38,0.0591797,0.0462891
39,0.0591797,0.0462891
40,0.0591797,0.0462891
41,0.0591797,0.0462891
42,0.0591797,0.0462891
43,0.0591797,0.0462891
44,0.0591797,0.0462891
45,0.0591797,0.0462891
46,0.141211,0.0144531
47,0.936523,2.51484
48,1.6127,12.2588
49,1.88691,21.3463
50,2.10449,31.0322
51,2.31309,40.1197
52,0.972656,37.8004
53,0.866016,37.8004
54,0.866016,37.4859
55,0.863672,37.7699
56,0.931641,38.0539
57,1.26328,39.4738
58,1.61641,39.7707
59,1.92559,38.9332
60,2.58555,39.4051
61,2.50723,38.4787
62,3.11211,37.6428
63,3.78281,36.0209
64,3.34004,35.8277
65,3.3582,36.7623
66,2.61074,37.6111
67,2.01777,38.9346
68,1.97559,38.7672
69,2.61445,46.475
70,2.29434,37.1355
71,2.09102,27.4543
72,1.68184,18.0645
73,1.2123,8.98027
74,1.2123,8.98027
75,1.2123,8.98027
76,1.2123,8.98027
77,1.2123,8.98027
78,0.0128906,0.0128906
79,0.0257812,0.0257812
80,0.0257812,0.0257812
81,0.0257812,0.0257812
82,0.0257812,0.0257812
83,0.0257812,0.0257812
84,0.0257812,0.0257812
85,0.0257812,0.0257812
86,0.0128906,0.0128906
87,0.0128906,0.0128906
88,0.0128906,0.0128906
89,0.0128906,0.0128906
90,0.0128906,0.0128906
91,0.0128906,0.0128906
92,0.0128906,0.0128906
93,0.274805,0.0144531
94,0.389844,0.305859
95,0.389844,0.305859
96,0.402734,0.31875
97,0.412891,0.506836
98,0.412891,0.506836
99,0.412891,0.506836
100,0.412891,0.506836
101,0.30625,1.04668
102,0.108398,0.973242
103,0.108398,0.973242
104,0.108398,0.973242
105,0.0462891,0.0974609
106,0.0539063,0.0333984
107,0.151758,0.134766
108,0.151758,0.134766
109,0.151758,0.134766
110,0.151758,0.134766
111,0.151758,0.134766
112,0.151758,0.134766
113,0.151758,0.134766
114,0.0128906,0.0128906
115,0.0128906,0.0128906
116,0.0128906,0.0128906
117,0.0128906,0.0128906
118,0.0128906,0.0128906
119,0.0128906,0.0128906
120,0.0386719,0.0386719
121,0.0515625,0.0515625
122,0.0773437,0.077343
123,0.0978516,0.0773437
124,0.110742,0.110742
125,0.110742,0.110742
126,0.110742,0.110742
127,0.110742,0.110742
128,0.110742,0.110742
129,0.110742,0.110742
130,0.0591797,0.0591797
131,0.0591797,0.0591797
